ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892586,3.566696186,3.445388747,3.125889378,3.502705936,3.352315583,3.587856472,2.99030413,2.9778995,3.434480613,3.370887579,3.387560378,3.30508023,3.575113911,2.830221854,3.475201168,3.340496954,3.435104308,3.519325147,2.954893393,3.382775328
7892587,3.930555352,4.789588865,4.318618106,4.464699418,4.897504641,4.664215708,3.969557703,4.49295153,4.358610023,5.256532793,5.331473268,4.790187095,4.937876828,5.035436109,5.198039106,4.505417856,5.182662131,6.273033059,4.474084795,5.156400071
7892588,2.72450282,3.207020131,2.962117505,3.006181896,2.586121427,3.065725589,2.622419749,2.73784756,2.858214398,2.72969521,3.164027795,2.918982671,2.880330029,2.571956972,2.979158781,2.960017492,2.547138474,2.797126863,2.599939281,2.694341201
7892589,6.021360755,5.856207132,6.84250237,5.321011756,6.000793997,5.670366232,4.331166665,5.68118875,5.64917448,6.506811184,5.943886939,6.933326594,5.856211597,5.81433945,4.636377802,5.054306879,6.347400504,6.908396378,5.054608623,6.166219946
7892590,3.014192483,2.8551079,4.977521531,2.944962489,4.735641443,4.192424816,4.084641025,3.24996163,3.458243386,4.362169782,4.470174148,3.200607403,3.504424049,3.799979371,4.977605027,3.835973666,3.781068602,4.253778972,3.110273492,3.847144729
7892591,2.659835338,2.472486705,2.757109895,2.896482635,2.54370742,2.762797262,2.642089053,2.8181393,2.753442022,3.224865328,2.699968144,2.618398498,2.403470826,3.098222321,3.543741162,2.885834686,2.699593209,2.659427831,2.576176381,2.751549167
7892592,5.683712772,5.250945023,5.474391822,5.447649166,5.098339761,4.935651115,4.46759361,4.78033431,4.912604865,5.092256785,4.479874976,4.966891945,4.236374545,4.638818688,5.125473697,5.067532506,5.061421462,4.998969628,4.88237914,4.943758195
7892593,7.141161519,7.259857314,6.513554366,6.964481626,6.306132354,6.089447248,6.441394235,6.94749381,5.179833938,5.30048146,5.664272032,6.095614488,5.441928987,5.403864359,5.93537946,4.990656172,6.975993029,4.835956806,5.888578368,5.414872042
7892594,3.79853113,3.954630662,4.107341609,4.250411772,3.571399801,4.334598459,3.836857365,3.60182552,3.774124283,4.365416563,4.525196988,3.323736494,3.586955205,4.052579825,3.305994916,4.344198502,4.917594158,3.748243532,3.4733022,3.895261116
7892595,4.749477166,4.023757229,4.231071142,5.185018614,4.623797562,4.519453293,4.474586651,4.68715182,3.860121954,4.825297524,5.054646544,4.250955717,3.936883215,5.158754205,4.308430416,4.824697464,4.898821485,4.658354674,4.531822621,4.339906259
